,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40
FOODSTAMP,0.18308298136404916,-0.009004676881903149,-0.0007161859991272484,-0.11324690884085788,-0.2959686990337731,0.06182860481754997,0.09379732338333105,0.08344898001252332,-0.0847715420278386,-0.11999677552788518,-0.0006261719705066143,-0.07979224803550657,-0.1617614640399394,-0.03069743977360509,0.08400383185992372,0.04877605284153316,-0.17772873934274497,-0.07778462668355976,-0.18598943118951183,-0.2761431421670096,-0.2149872107426526,0.26183750982117243,0.07785693335804195,0.22802126657335686,0.5702360477251478,-0.017534877284474032,0.2533620921982499,-0.005114997599030141,0.044336852034089824,-0.07728533284511813,-0.01816788961117191,0.19384697456034095,0.001722181576858342,-0.05570410917951654,0.008104833015147889,-0.046944852171758894,-0.04411679413970289,-0.12542804245493305,0.03785492514373144,-0.02341755679124702
GHLTH,0.19820364855755335,-0.04271050097904241,-0.04654061085066746,-0.05315831910449415,0.0009424636923337184,0.07695133496529122,0.1250094693885984,-0.07986061966230841,0.002214288559625476,0.01386532623002363,-0.0143579990925565,0.00507608934756535,0.007833157121654583,-0.005501661481916765,5.2299728362809744e-05,-0.030557520414449438,-0.11280838113409239,-0.07982851201494114,-0.003080087348821925,0.09709415115980889,-0.0803841829868371,-0.11955936033986896,0.07401928210255643,-0.08837306621138336,-0.20747204055548568,-0.06844602133623715,0.005559980760846801,0.08155011266892606,0.04348985023667029,-0.2502829435113478,0.3081965454504386,0.265184786116267,-0.2732323770330918,0.4509236345406962,-0.2951024301887355,-0.27846891810139895,-0.21103317782449457,-0.22163201251559636,0.20345873280628374,-0.0040086286904126404
HEARING,0.13501705938870473,0.1691728791626563,-0.23921899320492118,0.1744603639303127,0.1602065439635765,-0.16877086495947274,0.06589487263803295,-0.1220590362387162,-0.11147718220366705,0.025009373715025606,-0.3034475025416901,-0.20565946583322559,0.18764593054390083,0.09326517619284425,0.14810777502411449,-0.07858082181278375,0.3650962793796165,0.3028422165698521,0.017133169706753465,-0.281000014507384,-0.04958836212873844,0.16266038557510065,-0.006761242396447466,-0.19681610996190732,0.12296033935746381,-0.04930817570532067,0.08163638502917311,0.17322680059064413,-0.1333284733968691,0.1291587320189529,0.24449206627865616,-0.07215204393798093,0.05666248144173247,0.09080574505477984,0.021987607279772087,0.056192857246530406,-0.10585271980149832,-0.11896087585274095,-0.021195548483799176,0.07823042118056628
HIGHCHOL,0.10637998076822987,-0.08363802775862675,0.2711200181835842,-0.13966000942126452,0.44115892697339704,0.11185036251237691,0.13012105610161084,-0.01536454338929532,-0.27630241343159484,0.11843174405593856,-0.3014242722325838,0.01915475805085117,0.03397013607634479,-0.4174386728597258,0.33691288993594215,0.060063420596431855,-0.2877344607464025,0.07345486340888707,0.011125012945246232,0.02945171239773653,0.00344869304370668,-0.05922558527404073,-0.2593646423532076,0.005798295673583753,0.0892179939135101,0.10499084889708318,-0.04568344008591685,-0.05002107200024819,-0.01837030485880002,0.03497719592514188,-0.05112466978473529,-0.034850250087383156,0.03261564589826614,-0.0017133323168753989,-0.00020313085590689672,-0.009153007855642256,-0.006872719354776617,-0.008389168840932965,-0.001801119739467949,-0.00495547931035259
HOUSINSECU,0.1835973115398207,-0.16720372265144395,-0.025012227380348015,-0.06291183562533645,-0.15141133068759244,-0.05921621128397428,0.007710764299064064,0.03867395349735629,-0.013497508265419922,-0.028549051555325285,-0.0070008268344920336,-0.034641735941152135,-0.028052355265726817,0.057098132996582444,0.030139166910593665,-0.02498779862446518,-0.042464514031126804,-0.09682781628247708,0.023440938546920684,0.048045751729481875,0.07922923941581911,0.05116968952327516,-0.08213771469929781,-0.17031191912689525,-0.02365470616567074,0.1860463145866015,-0.09097553773962377,0.02926629931347697,-0.020038879932749498,-0.1886002787324281,-0.18057023870836628,-0.13701173829771374,-0.04715645600159718,0.3030915010066846,0.23417322354465775,0.47765430430598815,-0.26131473628690516,-0.26736333708717175,-0.3241887732892018,-0.29266354709324377
INDEPLIVE,0.19794489007622953,0.07768622026818851,-0.008742674538507899,-0.0016665384345906718,-0.062406929231738364,-0.04723767763546867,0.018347953037543847,-0.03705139623927095,-0.07663103347693156,-0.012940923322054203,-0.026017503607573236,0.049374078465103416,-0.09156192030090872,0.01598559199327781,-0.07833203842091783,0.07773457164491729,-0.08146817001783341,-0.1030703367225565,-0.07610107987712782,-0.13374437051431953,0.14560460647974735,-0.037794123990980893,-0.08558192843571695,0.04758489634371796,0.05291080846267934,-0.09773160726371789,-0.07515579108424209,0.03330365639631598,-0.28838158914206197,0.022784646299254113,0.21540107687240043,0.010599303920934031,0.030230643524018164,0.15414496563209462,-0.36794682670703943,0.3384770789773652,0.11217750943754518,0.5827514805909444,0.025825405978202518,-0.25876790192061877
LACKTRPT,0.1915498382905394,-0.07294259327671428,-0.053943520384696124,-0.029189025587485335,-0.20496531268025434,-0.11038071504163217,-0.07480185556007861,-0.019649734686609494,-0.02036336412299237,-0.01082797623898729,-0.06758314817423927,0.019713998202454824,-0.0032444845427290203,0.008938318147796373,0.03898462204006301,-0.00915320640481139,-0.021641210102366304,0.02213347330839735,0.056575340341657426,-0.09566486649055272,0.050725240562474926,-0.0014139446993382682,-0.13429559222072512,-0.19037396390651035,-0.04708403846515383,0.17428068238788666,0.01953346750501933,-0.0177115014527323,-0.16032143439596294,-0.07833798542607329,-0.17025956684620475,0.09539737994427257,0.09445027817681306,0.18603111721478913,-0.08400256757961996,-0.4222692108060078,0.5011470298760078,0.027557996175081076,-0.4617021747392074,0.13970354655429937
LONELINESS,0.14705301607293456,-0.1302880478285911,0.10104118253898181,-0.31366639905205485,-0.006310908964823197,0.38804429365281917,-0.05318902625114923,-0.03814109045112341,0.020599427311456135,-0.08288825073299794,0.09889071930130891,0.23836932493510615,0.05965158646607982,-0.13718150964576314,-0.21238495444303349,0.26217285074068747,0.4173087811464747,0.19798410647558112,-0.2924333829006643,-0.29500791213912325,-0.0868424318599882,0.03540212784918108,-0.06028901495855399,-0.1590884790184701,-0.09328760092310194,0.10801871164486337,-0.15599483320242502,-0.06712333912201933,0.10634427160153953,0.001304213855791353,0.030089811503595798,-0.022792460706365703,-0.010304248019259166,-0.013159113366510917,0.010719252369023706,0.005607661876354142,-0.006428191520435285,0.007131723431993003,0.041164544851630715,-0.0007653992988527411
LPA,0.17956181241745156,-0.08879826497256357,0.0031959182914200633,0.20874726995275703,0.12856388070038688,0.11201168524936418,0.12467124130835747,-0.042817878972659304,0.009651026041929172,0.0012569094610831852,0.10268452528289297,-0.15965554902120294,-0.08301747130622035,0.25082945223541936,-0.02566768318920195,0.5002834305589664,-0.13484719021623506,-0.04817760154551631,0.06037765257478814,0.17022635806125588,-0.2515131847377982,0.4359517738948178,-0.0570037142123439,0.10468801014829376,-0.25875472045510706,0.12182438978055354,-0.00977148379391557,-0.08585930911703767,-0.1584188251661316,0.2111252914337311,0.07054032740707902,-0.07973945578758476,0.10279882306160187,-0.0011653906577281312,0.023688062376469782,-0.0907089315909125,-0.02724406150404439,-0.01804720760223258,-0.02470947052781275,-0.03168217486200489
MAMMOUSE,-0.08086438447130441,-0.06175741860790215,0.31310524767134346,0.14313228453160326,-0.37266610481249374,0.04190597277970563,0.3149955098560122,-0.4490871421086838,0.10192355842280863,0.4845770204114272,0.05073290588182519,-0.12769807565586666,-0.20130665127890474,-0.20291542979611096,0.09415030156246526,-0.02906679245476601,0.24614957656357242,-0.02645025788026037,0.07938146996884804,0.008234580973737957,0.017211322278286718,0.03598927986321929,-0.022244260408610897,0.00969375609123685,0.0029417381612789617,-0.0072993463035098405,-0.023976605967771347,0.02021901275114535,-0.01046788673240727,-0.014044718677947154,0.0265471059359373,-0.031220545585889443,0.0008762709991768092,-0.031299737525732146,-0.003557508084797212,0.011235553108887589,0.0010401825145427285,0.008770231614716989,-0.0050706301015139565,-0.0013693571325693599
